department,headcount,salaried,hourly,fulltime,parttime,median_comp,mean_comp,total_payroll,public_safety_staff
BOARD OF ELECTION COMMISSIONERS,98,98,0,98,0,57372.0,66864.36857142857,6552708.12,0
BOARD OF ETHICS,7,7,0,7,0,122976.0,122058.85714285714,854412.0,0
CHICAGO ANIMAL CARE AND CONTROL,66,62,4,62,4,78792.0,83279.53939393938,5496449.6,0
CHICAGO COMMISSION ON HUMAN RELATIONS,19,19,0,19,0,122700.0,113735.36842105263,2160972.0,0
CHICAGO DEPARTMENT OF AVIATION,1985,974,1011,1950,35,101358.4,97083.64957178841,192711044.4,0
CHICAGO DEPARTMENT OF PUBLIC HEALTH,578,577,1,578,0,102588.0,106853.60207612457,61761382.0,0
CHICAGO DEPARTMENT OF TRANSPORTATION,1311,404,907,1311,0,106912.0,111928.51871853546,146738288.04,0
CHICAGO FIRE DEPARTMENT,4806,4806,0,4806,0,122376.0,128849.55955056181,619250983.2,4806
CHICAGO POLICE BOARD,2,2,0,2,0,102672.0,102672.0,205344.0,0
CHICAGO POLICE DEPARTMENT,12315,12280,35,12280,35,115158.0,117631.36159155502,1448630218.0,12315
CHICAGO PUBLIC LIBRARY,1070,781,289,785,285,76464.0,72777.12523364487,77871524.0,0
CITY COUNCIL,435,311,124,340,95,67992.0,71598.66850574713,31145420.8,0
CITY TREASURER'S OFFICE,35,35,0,35,0,116592.0,114453.25714285714,4005864.0,0
CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,117,117,0,117,0,112536.0,112356.71794871795,13145736.0,0
COMMUNITY COMMISSION FOR PUBLIC SAFETY AND ACCOUNTABILITY,25,25,0,25,0,113568.0,114471.84,2861796.0,0
DEPARTMENT OF ADMINISTRATIVE HEARING,32,32,0,32,0,93072.0,101367.75,3243768.0,0
DEPARTMENT OF BUILDINGS,237,236,1,236,1,133431.96,132876.49097046413,31491728.36,0
DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,173,171,2,171,2,98832.0,105165.06358381503,18193556.0,0
DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,65,62,3,65,0,98832.0,108115.38461538461,7027500.0,0
DEPARTMENT OF ENVIRONMENT,55,55,0,55,0,111000.0,114271.85454545454,6284952.0,0
DEPARTMENT OF FAMILY AND SUPPORT SERVICES,584,356,228,357,227,76464.0,64458.968493150685,37644037.6,0
DEPARTMENT OF FINANCE,557,524,33,557,0,85500.0,90976.42944344705,50673871.2,0
DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,873,161,712,873,0,120120.0,113598.81869415808,99171768.72,0
DEPARTMENT OF HOUSING,112,106,6,106,6,93918.0,97968.53571428571,10972476.0,0
DEPARTMENT OF HUMAN RESOURCES,112,110,2,110,2,99480.0,107653.42857142857,12057184.0,0
DEPARTMENT OF LAW,360,357,3,358,2,113208.0,114798.36,41327409.6,0
DEPARTMENT OF PLANNING AND DEVELOPMENT,166,163,3,163,3,101904.0,108972.0,18089352.0,0
DEPARTMENT OF PROCUREMENT SERVICES,89,86,3,88,1,102516.0,112876.85393258427,10046040.0,0
DEPARTMENT OF STREETS AND SANITATION,2008,314,1694,2007,1,99403.2,95191.34980079682,191144230.4,0
DEPARTMENT OF TECHNOLOGY AND INNOVATION,93,93,0,93,0,132708.0,134171.35483870967,12477936.0,0
DEPARTMENT OF WATER MANAGEMENT,2048,417,1631,2047,1,109200.0,113094.2724609375,231617070.0,0
LICENSE APPEAL COMMISSION,1,1,0,1,0,122976.0,122976.0,122976.0,0
MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,35,34,1,34,1,93504.0,102674.62857142858,3593612.0,0
OFFICE OF BUDGET & MANAGEMENT,52,52,0,52,0,120312.0,122782.84615384616,6384708.0,0
OFFICE OF CITY CLERK,82,82,0,82,0,93072.0,96835.60975609756,7940520.0,0
OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,864,678,186,678,186,78744.0,77326.53180555555,66810123.48,864
OFFICE OF INSPECTOR GENERAL,109,109,0,109,0,97332.0,108503.33944954128,11826864.0,0
OFFICE OF PUBLIC SAFETY ADMINISTRATION,299,244,55,299,0,108528.0,108769.25605351171,32522007.56,0
OFFICE OF THE MAYOR,109,101,8,109,0,105528.0,115234.49541284403,12560560.0,0
