department,headcount,total_payroll,median_comp,mean_comp,max_comp,payroll_pct,headcount_pct
CHICAGO POLICE DEPARTMENT,12315,1448630218.0,115158.0,117631.36159155502,284016.0,40.96090887421364,38.503626813406704
CHICAGO FIRE DEPARTMENT,4806,619250983.2,122376.0,128849.55955056181,249780.0,17.509701770643584,15.026263131565784
DEPARTMENT OF WATER MANAGEMENT,2048,231617070.0,109200.0,113094.2724609375,227988.0,6.549114867340398,6.4032016008004
CHICAGO DEPARTMENT OF AVIATION,1985,192711044.4,101358.4,97083.64957178841,350000.04,5.4490231051655025,6.206228114057029
DEPARTMENT OF STREETS AND SANITATION,2008,191144230.4,99403.2,95191.34980079682,227988.0,5.404720477290289,6.278139069534768
CHICAGO DEPARTMENT OF TRANSPORTATION,1311,146738288.04,106912.0,111928.51871853546,215460.0,4.14911519177253,4.098924462231116
DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,873,99171768.72,120120.0,113598.81869415808,207612.0,2.8041426521136605,2.7294897448724362
CHICAGO PUBLIC LIBRARY,1070,77871524.0,76464.0,72777.12523364487,223740.0,2.201865154286144,3.3454227113556776
OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,864,66810123.48,78744.0,77326.53180555555,181356.0,1.8890972628732234,2.7013506753376686
CHICAGO DEPARTMENT OF PUBLIC HEALTH,578,61761382.0,102588.0,106853.60207612457,199800.0,1.7463409975943898,1.8071535767883944
DEPARTMENT OF FINANCE,557,50673871.2,85500.0,90976.42944344705,214344.0,1.432834821982734,1.741495747873937
DEPARTMENT OF LAW,360,41327409.6,113208.0,114798.36,236868.0,1.168557881506861,1.1255627813906952
DEPARTMENT OF FAMILY AND SUPPORT SERVICES,584,37644037.6,76464.0,64458.968493150685,213888.0,1.0644082766131224,1.825912956478239
OFFICE OF PUBLIC SAFETY ADMINISTRATION,299,32522007.56,108528.0,108769.25605351171,223740.0,0.9195797323010467,0.9348424212106052
DEPARTMENT OF BUILDINGS,237,31491728.36,133431.96,132876.49097046413,204420.0,0.8904479553286864,0.7409954977488744
CITY COUNCIL,435,31145420.8,67992.0,71598.66850574713,163908.0,0.8806558964365316,1.3600550275137568
DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,173,18193556.0,98832.0,105165.06358381503,197820.0,0.5144339667598338,0.5408954477238619
DEPARTMENT OF PLANNING AND DEVELOPMENT,166,18089352.0,101904.0,108972.0,214344.0,0.5114875346784836,0.5190095047523763
CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,117,13145736.0,112536.0,112356.71794871795,203532.0,0.3717037568937898,0.365807903951976
OFFICE OF THE MAYOR,109,12560560.0,105528.0,115234.49541284403,221052.0,0.3551575461951967,0.3407953976988494
DEPARTMENT OF TECHNOLOGY AND INNOVATION,93,12477936.0,132708.0,134171.35483870967,227976.0,0.352821301863986,0.2907703851925963
DEPARTMENT OF HUMAN RESOURCES,112,12057184.0,99480.0,107653.42857142857,214344.0,0.3409242807218776,0.3501750875437719
OFFICE OF INSPECTOR GENERAL,109,11826864.0,97332.0,108503.33944954128,200892.0,0.3344118413051893,0.3407953976988494
DEPARTMENT OF HOUSING,112,10972476.0,93918.0,97968.53571428571,207612.0,0.3102534960101848,0.3501750875437719
DEPARTMENT OF PROCUREMENT SERVICES,89,10046040.0,102516.0,112876.85393258427,212724.0,0.28405794927764316,0.278264132066033
OFFICE OF CITY CLERK,82,7940520.0,93072.0,96835.60975609756,176004.0,0.22452307848645947,0.25637818909454724
DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,65,7027500.0,98832.0,108115.38461538461,195000.0,0.19870687739135395,0.20322661330665331
BOARD OF ELECTION COMMISSIONERS,98,6552708.12,57372.0,66864.36857142857,154056.0,0.18528184546171034,0.30640320160080037
OFFICE OF BUDGET & MANAGEMENT,52,6384708.0,120312.0,122782.84615384616,218280.0,0.18053153891648477,0.16258129064532267
DEPARTMENT OF ENVIRONMENT,55,6284952.0,111000.0,114271.85454545454,190428.0,0.17771087676621056,0.17196098049024514
CHICAGO ANIMAL CARE AND CONTROL,66,5496449.6,78792.0,83279.53939393938,184800.0,0.15541548726502402,0.20635317658829416
CITY TREASURER'S OFFICE,35,4005864.0,116592.0,114453.25714285714,178932.0,0.11326826420411792,0.10942971485742871
MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,35,3593612.0,93504.0,102674.62857142858,171924.0,0.10161158578101719,0.10942971485742871
DEPARTMENT OF ADMINISTRATIVE HEARING,32,3243768.0,93072.0,101367.75,191736.0,0.09171953187648488,0.10005002501250625
COMMUNITY COMMISSION FOR PUBLIC SAFETY AND ACCOUNTABILITY,25,2861796.0,113568.0,114471.84,190428.0,0.08091903904533151,0.0781640820410205
CHICAGO COMMISSION ON HUMAN RELATIONS,19,2160972.0,122700.0,113735.36842105263,170436.0,0.06110281013876186,0.05940470235117559
BOARD OF ETHICS,7,854412.0,122976.0,122058.85714285714,165144.0,0.02415902390974052,0.021885942971485745
CHICAGO POLICE BOARD,2,205344.0,102672.0,102672.0,128772.0,0.005806227681401663,0.00625312656328164
LICENSE APPEAL COMMISSION,1,122976.0,122976.0,122976.0,122976.0,0.0034772219073751897,0.00312656328164082
