job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
COMMISSIONER OF AVIATION,1,350000.04,350000.04,350000.04,350000.04,350000.04
SUPERINTENDENT OF POLICE,1,284016.0,284016.0,284016.0,284016.0,284016.0
FIRE COMMISSIONER,1,249780.0,249780.0,249780.0,249780.0,249780.0
CORPORATION COUNSEL,1,236868.0,236868.0,236868.0,236868.0,236868.0
COMMISSIONER OF WATER MGMT,1,227988.0,227988.0,227988.0,227988.0,227988.0
COMMISSIONER OF STREETS AND SANITATION,1,227988.0,227988.0,227988.0,227988.0,227988.0
CHIEF INFORMATION OFFICER,1,227976.0,227976.0,227976.0,227976.0,227976.0
FIRST DEPUTY FIRE COMMISSIONER,1,226872.0,226872.0,226872.0,226872.0,226872.0
COMMISSIONER OF CHICAGO PUBLIC LIBRARY,1,223740.0,223740.0,223740.0,223740.0,223740.0
EXEC DIR - OFFICE OF PUBLIC SAFETY ADM,1,223740.0,223740.0,223740.0,223740.0,223740.0
DEPUTY FIRE COMMISSIONER,4,221796.0,221796.0,221796.0,221796.0,887184.0
SUPERINTENDENT'S CHIEF OF STAFF,1,221652.0,221652.0,221652.0,221652.0,221652.0
MAYOR,1,221052.0,221052.0,221052.0,221052.0,221052.0
DEPUTY SUPERINTENDENT,1,220296.0,220296.0,220296.0,220296.0,220296.0
CHIEF,4,219048.0,219048.0,219048.0,219048.0,876192.0
ASST DEPUTY FIRE COMMISSIONER,3,219048.0,219048.0,219048.0,219048.0,657144.0
BUDGET DIR,1,218280.0,218280.0,218280.0,218280.0,218280.0
CHIEF OF STAFF,1,217044.0,217044.0,217044.0,217044.0,217044.0
COMMISSIONER OF TRANSPORTATION,1,215460.0,215460.0,215460.0,215460.0,215460.0
MANAGING DEPUTY CORPORATION COUNSEL,2,214440.0,214440.0,211752.0,217128.0,428880.0
FIRST DEPUTY COMMISSIONER - 41,4,214440.0,211818.0,196740.0,221652.0,847272.0
CITY COMPTROLLER,1,214344.0,214344.0,214344.0,214344.0,214344.0
COMMISSIONER OF PLANNING & DEVELOPMENT,1,214344.0,214344.0,214344.0,214344.0,214344.0
COMMISSIONER OF HUMAN RESOURCES,1,214344.0,214344.0,214344.0,214344.0,214344.0
COMMISSIONER OF FAMILY AND SUPPORT SERVICES,1,213888.0,213888.0,213888.0,213888.0,213888.0
CHIEF LABOR NEGOTIATOR,1,212784.0,212784.0,212784.0,212784.0,212784.0
CHIEF PROCUREMENT OFFICER,1,212724.0,212724.0,212724.0,212724.0,212724.0
DEPUTY FIRE COMMISSIONER / EXEC DIR OF OEMC,1,211848.0,211848.0,211848.0,211848.0,211848.0
CHIEF INFORMATION SECURITY OFFICER,1,211752.0,211752.0,211752.0,211752.0,211752.0
COMMISSIONER OF HOUSING,1,207612.0,207612.0,207612.0,207612.0,207612.0
COMMISSIONER OF FLEET & FACILITY MANAGEMENT,1,207612.0,207612.0,207612.0,207612.0,207612.0
DISTRICT CHIEF,7,205560.0,205560.0,205560.0,205560.0,1438920.0
BATTALION CHIEF-PARAMEDIC,12,205248.0,204753.0,199308.0,205248.0,2457036.0
CHIEF HELICOPTER PILOT-PARAMEDIC,1,205248.0,205248.0,205248.0,205248.0,205248.0
FIRST ASST CORPORATION COUNSEL,1,205200.0,205200.0,205200.0,205200.0,205200.0
HEAD OF PLANNING,1,204516.0,204516.0,204516.0,204516.0,204516.0
HEAD OF SUPPORT,1,204516.0,204516.0,204516.0,204516.0,204516.0
DIR OF CAPS,1,204516.0,204516.0,204516.0,204516.0,204516.0
COMMISSIONER OF BUILDINGS,1,204420.0,204420.0,204420.0,204420.0,204420.0
CHIEF ADMINISTRATOR,1,203532.0,203532.0,203532.0,203532.0,203532.0
DEPUTY CHIEF,15,201048.0,201048.0,201048.0,201048.0,3015720.0
MANAGING DEPUTY COMMISSIONER - 41,16,200970.0,198758.25,164412.0,211752.0,3180132.0
INSPECTOR GENERAL,1,200892.0,200892.0,200892.0,200892.0,200892.0
MEDICAL DIR,6,199800.0,198948.0,194688.0,199800.0,1193688.0
FIRST DEPUTY BUDGET DIR,1,199800.0,199800.0,199800.0,199800.0,199800.0
MANAGING DEPUTY DIR,4,199410.0,199410.0,194688.0,204132.0,797640.0
